campus,docentes_total,docentes_com_registro,docentes_sem_registro,taxa_não_entrega_%,registros,nao_homologados,taxa_não_homologação_%,periodo_letivo
CMPACAT,25,17,8,32.0,17,0,0.0,2023/1
CMPCBE,66,37,29,43.93939393939394,37,0,0.0,2023/1
CMPCE,108,86,22,20.37037037037037,86,0,0.0,2023/1
CMPCRIS,43,21,22,51.162790697674424,22,0,0.0,2023/1
CMPHID,21,19,2,9.523809523809524,19,0,0.0,2023/1
CMPIPA,23,17,6,26.08695652173913,17,0,0.0,2023/1
CMPIPR,73,68,5,6.8493150684931505,68,0,0.0,2023/1
CMPMHOS,95,85,10,10.526315789473683,85,0,0.0,2023/1
CMPPOS,72,42,30,41.66666666666667,42,0,0.0,2023/1
CMPRV,159,144,15,9.433962264150944,145,0,0.0,2023/1
CMPTRI,57,46,11,19.298245614035086,46,0,0.0,2023/1
CMPURT,156,112,44,28.205128205128204,112,0,0.0,2023/1
REITORIA,17,14,3,17.647058823529413,14,0,0.0,2023/1
CMPACAT,25,16,9,36.0,16,0,0.0,2023/2
CMPCBE,66,34,32,48.484848484848484,34,0,0.0,2023/2
CMPCE,108,86,22,20.37037037037037,86,0,0.0,2023/2
CMPCRIS,43,22,21,48.837209302325576,22,0,0.0,2023/2
CMPHID,21,18,3,14.285714285714285,18,0,0.0,2023/2
CMPIPA,23,18,5,21.73913043478261,18,0,0.0,2023/2
CMPIPR,73,68,5,6.8493150684931505,68,0,0.0,2023/2
CMPMHOS,95,87,8,8.421052631578947,87,0,0.0,2023/2
CMPPOS,72,44,28,38.88888888888889,44,0,0.0,2023/2
CMPRV,159,145,14,8.80503144654088,145,0,0.0,2023/2
CMPTRI,57,48,9,15.789473684210526,49,0,0.0,2023/2
CMPURT,156,110,46,29.48717948717949,110,0,0.0,2023/2
REITORIA,17,14,3,17.647058823529413,14,0,0.0,2023/2
CMPACAT,25,15,10,40.0,15,0,0.0,2024/1
CMPCBE,66,36,30,45.45454545454545,36,0,0.0,2024/1
CMPCE,108,85,23,21.296296296296298,85,0,0.0,2024/1
CMPCRIS,43,22,21,48.837209302325576,22,0,0.0,2024/1
CMPHID,21,18,3,14.285714285714285,18,0,0.0,2024/1
CMPIPA,23,17,6,26.08695652173913,17,0,0.0,2024/1
CMPIPR,73,69,4,5.47945205479452,69,0,0.0,2024/1
CMPMHOS,95,84,11,11.578947368421053,84,0,0.0,2024/1
CMPPOS,72,46,26,36.11111111111111,46,0,0.0,2024/1
CMPRV,159,142,17,10.69182389937107,142,0,0.0,2024/1
CMPTRI,57,47,10,17.543859649122805,48,0,0.0,2024/1
CMPURT,156,108,48,30.76923076923077,108,0,0.0,2024/1
REITORIA,17,14,3,17.647058823529413,14,0,0.0,2024/1
CMPACAT,25,16,9,36.0,16,0,0.0,2024/2
CMPCBE,66,42,24,36.36363636363637,42,0,0.0,2024/2
CMPCE,108,90,18,16.666666666666664,90,0,0.0,2024/2
CMPCRIS,43,34,9,20.930232558139537,34,0,0.0,2024/2
CMPHID,21,17,4,19.047619047619047,17,0,0.0,2024/2
CMPIPA,23,20,3,13.043478260869565,20,0,0.0,2024/2
CMPIPR,73,69,4,5.47945205479452,69,0,0.0,2024/2
CMPMHOS,95,86,9,9.473684210526317,86,0,0.0,2024/2
CMPPOS,72,62,10,13.88888888888889,62,0,0.0,2024/2
CMPRV,159,141,18,11.320754716981133,141,0,0.0,2024/2
CMPTRI,57,50,7,12.280701754385964,50,0,0.0,2024/2
CMPURT,156,116,40,25.64102564102564,116,0,0.0,2024/2
REITORIA,17,14,3,17.647058823529413,14,0,0.0,2024/2
